timestamp,temperature,humidity
2025-07-27T18:13:46.979688,37.3,45.1
2025-07-27T18:13:57.561765,37.6,44.8
2025-07-27T18:14:08.316822,37.9,44.2
2025-07-27T18:14:18.824228,38.1,44.2
2025-07-27T18:14:29.371339,38.2,43.8
2025-07-27T18:14:39.856453,38.3,43.6
2025-07-27T18:14:50.362846,38.5,44.2
2025-07-27T18:15:01.114803,38.6,43.4
2025-07-27T18:15:11.598885,38.7,42.9
2025-07-27T18:15:22.343372,38.9,42.6
2025-07-27T18:15:33.103477,38.9,42.2
2025-07-27T18:15:43.854668,38.9,41.9
2025-07-27T18:15:54.568436,38.8,42.2
2025-07-27T18:16:05.021493,38.4,42.9
2025-07-27T18:16:15.471716,38.4,43.2
2025-07-27T18:16:25.928527,38.5,43.2
2025-07-27T18:16:36.446881,38.8,42.6
2025-07-27T18:16:46.929239,38.6,42.6
2025-07-27T18:16:57.643871,38.8,42.4
2025-07-27T18:17:08.191507,38.8,42.3
2025-07-27T18:17:18.676948,38.8,42.7
2025-07-27T18:17:29.133652,38.7,42.9
2025-07-27T18:17:39.591026,38.7,42.7
2025-07-27T18:17:50.313672,38.6,42.7
2025-07-27T18:18:01.027492,38.6,42.7
2025-07-27T18:18:11.574468,38.4,42.9
2025-07-27T18:18:22.029503,38.3,43.2
2025-07-27T18:18:32.565554,38.4,43.4
2025-07-27T18:18:43.055858,38.2,43.4
2025-07-27T18:18:53.707848,38.1,43.7
2025-07-27T18:19:04.159378,38.2,43.9
2025-07-27T18:19:14.898343,38.5,43.3
2025-07-27T18:19:25.556606,38.8,42.6
2025-07-27T18:19:36.043465,38.8,42.7
2025-07-27T18:19:46.533654,38.8,42.7
2025-07-27T18:19:57.285687,38.8,42.8
2025-07-27T18:20:08.000244,38.7,42.8
2025-07-27T18:20:18.546704,38.6,42.8
2025-07-27T18:20:29.101146,38.6,43.1
2025-07-27T18:20:39.580911,38.3,43.3
2025-07-27T18:20:50.084994,38.4,43.4
2025-07-27T18:21:00.631928,38.3,43.3
2025-07-27T18:21:11.119695,38.4,43.3
2025-07-27T18:21:21.868948,38.4,43.2
2025-07-27T18:21:32.324989,38.5,43.1
2025-07-27T18:21:42.969843,38.5,43.1
2025-07-27T18:21:53.423490,38.4,43.1
2025-07-27T18:22:04.148853,38.5,43.4
2025-07-27T18:22:14.904568,38.4,43.2
2025-07-27T18:22:25.566048,38.3,43.5
2025-07-27T18:22:36.296492,38.3,44.8
2025-07-27T18:22:46.823922,38.2,44.0
2025-07-27T18:22:57.306763,38.3,43.6
2025-07-27T18:23:07.766052,38.3,43.7
2025-07-27T18:23:18.216123,38.3,43.5
2025-07-27T18:23:28.667123,38.3,43.6
2025-07-27T18:23:39.389160,38.4,43.3
2025-07-27T18:23:50.138261,38.5,43.2
2025-07-27T18:24:00.894961,38.5,43.2
2025-07-27T18:24:11.636084,38.5,43.0
2025-07-27T18:24:22.297209,38.5,43.0
2025-07-27T18:24:32.901488,38.5,43.0
2025-07-27T18:24:43.389536,38.5,43.1
2025-07-27T18:24:54.129678,38.5,43.2
2025-07-27T18:25:04.587476,38.5,43.4
2025-07-27T18:25:15.326297,38.4,43.3
2025-07-27T18:25:26.083226,38.4,43.3
2025-07-27T18:25:36.619389,38.3,43.4
2025-07-27T18:25:47.383031,38.3,43.6
